Gene,#Var,ECSP,Chrom,Pos,GWAS_Var_P,eQTL_P,eQTL_Beta,eQTL_SE
CDK11A,46,0.291482878,1,2254910,0.009276,0.00335,0.419,0.143
TMEM240,22,0.025449014,1,1885055,0.003213,0.004,0.467,0.162
FNDC10,22,1.56E-04,1,2373089,4.85E-07,0.00152,0.412,0.13
UBE2J2,52,0.061003298,1,2114271,0.001515,8.32E-04,-0.878,0.263
C1orf159,164,0.013052155,1,1882949,4.82E-05,0.00461,0.486,0.172
CCNL2,7,0.1832933,1,1373335,0.05406,0.00548,-0.376,0.135
MIB2,95,0.001354836,1,1882949,4.82E-05,0.00419,0.481,0.168
WASH7P,1,0.3348,1,776546,0.3348,0.00603,0.39,0.142
LINC01786,20,0.222666606,1,1373335,0.05406,3.54E-04,-0.509,0.143
PUSL1,30,0.241421866,1,2122723,0.003085,0.005,-0.767,0.273
